id,created_by,created_date,modified_by,modified_date,version,name,lat,lng,company_id
1,administrator,2022-03-27 19:03:38.000000,administrator,2022-03-27 19:00:42.000000,0,station A1,35.700568,51.349122,1
2,administrator,2022-03-27 19:03:38.000000,administrator,2022-03-27 19:00:42.000000,0,station A2,35.657532,51.050988,1
3,administrator,2022-03-27 19:03:38.000000,administrator,2022-03-27 19:00:42.000000,0,station A3,35.819692,50.929555,1
4,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station A4,35.370555,51.877604,1
5,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station A5,32.758118,58.623101,1
6,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station A6,32.071811,54.203648,1
7,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station A7,26.801396,58.885711,1
8,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station A8,29.014746,53.212981,1
9,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station A9,31.594328,49.123338,1
10,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station A10,38.390648,45.165619,1
11,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station B1,59.317288,18.072945,2
12,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station B2,59.357991,17.930365,2
13,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station B3,59.406547,17.166918,2
14,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station B4,59.951572,10.570251,2
15,administrator,2022-03-27 19:12:54.000000,administrator,2022-03-27 19:00:42.000000,0,station B5,56.503439,13.934527,2
16,administrator,2022-03-27 20:04:02.000000,administrator,2022-03-27 19:00:42.000000,0,station C1,39.14444,-105.545129,3
17,administrator,2022-03-27 20:04:04.000000,administrator,2022-03-27 19:00:42.000000,0,station C2,35.634279,-105.966688,3
